ID,Speed,Stamina,Field of View,Range,MilliSeconds Alive,Seconds Alive,Minutes Alive
120,1.06,0.95,1.05,1.01,101.05,
182,0.9,1.05,0.91,0.94,396.969,
121,1,1.02,0.95,1.09,897.217,
173,0.92,0.98,0.95,0.9,1112.16,
22,1.02,1.09,0.97,0.99,1658.94,
93,0.95,1.06,1.04,1.1,2860.62,
63,1,0.96,0.96,1.01,4417.43,
131,0.98,1.07,1.05,1.1,4688.23,
141,1.03,1.03,1.02,1.01,4872.18,
57,1.06,1.08,1.06,1.01,5638.75,
11,1.08,1.05,1.04,0.94,5993.49,
95,1.1,1.03,1,0.96,6296.99,
29,1.06,0.94,1.08,1.08,7076.49,
39,1.01,1.02,0.94,1.09,7196.32,
160,1,0.9,0.92,0.9,7818.21,
132,0.95,1,0.92,0.92,7968.45,
130,1,1.05,0.95,1.1,8579.13,
74,0.98,0.9,1.03,0.92,9929.38,
107,0.92,1.02,0.99,1.06,10557,
140,1.1,0.93,1.1,1.08,11669.3,
41,0.92,0.97,0.92,0.99,12992.1,
105,1.03,0.9,1.07,1.03,13635.8,
73,1.06,0.95,1.1,0.92,13742.6,
166,1.04,0.93,1.06,0.98,14144.4,
77,1.1,1.01,1.02,1.09,14255.5,
16,0.98,1.06,1.05,1,15099.4,
40,0.9,1.03,0.94,1.01,15211.2,
3,1.02,0.95,1.1,0.98,16559.1,
126,0.91,0.92,0.93,1.04,16737,
20,0.99,1.1,0.92,1.05,17145.1,
159,0.92,0.95,1.08,0.96,17912.4,
171,1.1,0.91,1.08,1.02,18408.8,
4,0.9,0.94,0.95,0.97,19777.9,
122,1.09,1.08,1,1.06,20881.5,
189,0.9,0.95,0.92,1.03,22278.1,
181,0.96,0.9,1.03,1.08,22343.2,
23,1.02,0.98,0.94,0.95,23156.9,
14,1.02,1.02,0.92,1.02,25615.9,
142,0.96,0.93,0.97,1.01,25917.8,
165,1.04,0.99,1.08,0.92,28020.4,
114,1,1.05,0.9,1.06,28991.6,
60,1.08,0.91,0.99,0.95,29448.8,
48,1.07,0.94,1.01,1.05,31456.5,
102,0.91,0.94,0.96,0.95,31917.4,
168,0.99,1.07,0.99,1.1,32551.7,
128,0.96,1,1,0.9,32734.8,
179,1.04,0.95,1.04,0.93,33592.5,
164,1,0.99,1.02,1.01,33987.9,
115,1.1,0.93,1.07,1.06,34756.3,
91,1.09,0.96,0.99,1.09,38828.5,
15,0.95,0.99,1.01,0.98,39676.4,
110,1.01,1.03,1.09,0.94,40321,
150,1.08,1.08,0.97,1.05,41664.6,
58,0.97,0.96,0.91,1.05,42934.2,
152,0.93,0.92,1.08,1,43538.7,
82,0.99,0.96,1.03,0.94,44768.5,
157,0.92,1,1.08,1,45099.5,
198,1.1,1.05,0.93,1.01,45274.9,
178,1,0.96,0.99,1,46342.5,
37,1.07,1.01,0.95,1.08,47274.3,
191,0.99,0.94,1.02,1.04,47323.6,
124,1.02,1,0.93,0.98,48987,
51,1.04,0.94,1.04,0.9,50532.6,
127,0.9,1.06,1.04,0.93,52000.2,
148,0.99,0.93,1.09,0.9,52352.3,
144,0.93,1.03,1.02,0.93,54041.2,
19,1.02,1.1,1.08,1.1,55205.7,
112,1.03,1.02,1.03,0.9,55709.6,
104,1.04,1.01,0.97,0.96,56509.5,
116,1.03,0.97,1.01,0.94,56708.8,
43,0.95,0.98,0.98,1.05,57146,
123,0.98,1.05,1.07,1.04,57580.4,
197,1.08,1.02,0.95,0.94,59148.5,
